Niveau,Wort,Klarwort,Übersetzung,Detail,Example1,Example2,Example3,Example4,Example5,
B1,Duzen,duzen,"duzen (Verb): to address someone with 'du', to use first-name terms, to say 'du' to someone  das duzen (Noun): addressing with 'du'","duzen (Verb): to address someone with 'du', to use first-name terms, to say 'du' to someone  das Duzen (Noun): addressing with 'du'🔄 Verb Conjugationsregelmäßig Partizip II: geduztPresent (Präsens):ich: duzedu: duzter/sie/es: duztwir: duzenihr: duztsie: duzenPast (Präteritum):ich: duztedu: duztester/sie/es: duztewir: duztenihr: duztetsie: duzten",Sollen wir uns duzen?Shall we use 'du' with each other?2. In unserer Firma duzen sich alle.In our company everyone uses 'du'.,"Er duzte den Chef, und das war okay.He addressed the boss with 'du', and that was okay.",Das Duzen ist hier üblich.Using 'du' is common here.,,,German Word (B1)
A1,Duschen,duschen,"duschen (Verb): to take a shower, to shower  das duschen (Noun): the act of showering","duschen (Verb): to take a shower, to shower  das Duschen (Noun): the act of showering🔄 Verb Conjugationsregelmäßig Partizip II: geduschtPresent (Präsens):ich: duschedu: duschster/sie/es: duschtwir: duschenihr: duschtsie: duschenPast (Präteritum):ich: duschtedu: duschtester/sie/es: duschtewir: duschtenihr: duschtetsie: duschten",Ich dusche jeden Morgen.I shower every morning.,Duscht ihr nach dem Sport?Do you shower after sports?3. Er duschte schnell und ging zur Arbeit.He showered quickly and went to work.,Das Duschen am Abend entspannt mich.Showering in the evening relaxes me.,,,German Word (A1)
A1,Durstig,durstig,"durstig (Adjektiv): thirsty, in need of a drink, parched  das durstig (Noun): the thirsty‌ (person)","durstig (Adjektiv): thirsty, in need of a drink, parched  das Durstig (Noun): the thirsty (person)📊 Degrees of ComparisonPositive: durstigComparative: durstigerSuperlative: am durstigsten",Ich bin durstig.I am thirsty.,Nach dem Lauf sind wir durstiger.After the run we are thirstier.,Er ist am durstigsten.He is the thirstiest.,Die Durstigen bekommen zuerst Wasser.The thirsty get water first.,,German Word (A1)
B1,Durchschnittlich,durchschnittlich,"durchschnittlich (Adjektiv): average, on average, mediocre  durchschnittlich (Adverb): on average, on the whole‌ (average)  das durchschnittlich (Noun): the average‌ (quality), mediocrity","durchschnittlich (Adjektiv): average, on average, mediocre  durchschnittlich (Adverb): on average, on the whole (average)  das Durchschnittlich (Noun): the average (quality), mediocrity📊 Degrees of ComparisonPositive: durchschnittlichComparative: durchschnittlicherSuperlative: am durchschnittlichsten",Die Preise sind hier durchschnittlich.Prices here are average.,Er ist durchschnittlicher groß als sein Bruder.He is on average taller than his brother.,Das Team spielt am durchschnittlichsten in der Liga.The team plays the most averagely in the league.,Durchschnittlich braucht man 20 Minuten zur Arbeit.On average it takes 20 minutes to get to work.,Das Durchschnittliche gefällt ihm nicht.He does not like the average thing.,German Word (B1)
B1,Durcheinander,durcheinander,"durcheinander (Adjektiv): confused, mixed-up, disordered  durcheinander (Adverb): all mixed up, in disorder, chaotically, jumbled  das durcheinander (Noun): mess, chaos, confusion","durcheinander (Adjektiv): confused, mixed-up, disordered  durcheinander (Adverb): all mixed up, in disorder, chaotically, jumbled  das Durcheinander (Noun): mess, chaos, confusion",Alles liegt durcheinander auf dem Tisch.Everything is all mixed up on the table.,"Nach dem Umzug war die Wohnung völlig durcheinander.After the move, the apartment was completely in disorder.",Ich bin heute ganz durcheinander.I am totally confused today.,Hier ist mehr durcheinander als gestern.There is more mess here than yesterday.,Das Durcheinander im Büro stört uns.The mess in the office bothers us.,German Word (B1)
A2,Durch,durch,"durch (Adverb): through, right through, by‌ (sports: through-ball)","durch (Adverb): through, right through, by (sports: through-ball)",Wir gehen durch den Park.We are walking through the park.,Die Sonne scheint durch das Fenster.The sun shines through the window.,Er hat es durch Übung geschafft.He managed it by means of practice.,Bist du mit der Aufgabe durch?Are you done with the task?5. Der Pass ging genau durch.The pass went straight through.,,German Word (A2)
A1,Dunkel,dunkel,"dunkel (Adjektiv): dark, dim, gloomy, unclear, swarthy  dunkel (Adverb): dark, dimly, vaguely  das dunkel (Noun): the dark‌ (quality), the obscure‌ (things that are dark)","dunkel (Adjektiv): dark, dim, gloomy, unclear, swarthy  dunkel (Adverb): dark, dimly, vaguely  das Dunkel (Noun): the dark (quality), the obscure (things that are dark)📊 Degrees of ComparisonPositive: dunkelComparative: dunklerSuperlative: am dunkelsten",Das Zimmer ist dunkel.The room is dark.,Hier ist es dunkler als draußen.It is darker here than outside.,Dieser Raum ist am dunkelsten.This room is the darkest.,Draußen ist es noch dunkel.It is still dark outside.,Ich sehe das Dunkle im Bild.I see the dark part in the picture.,German Word (A1)
A2,Dumm,dumm,"dumm (Adjektiv): stupid, dumb, silly, awkward‌ (situation), unfortunate  das dumm (Noun): the dumb/stupid‌ (as a concept), the fools‌ (people, plural)","dumm (Adjektiv): stupid, dumb, silly, awkward (situation), unfortunate  das Dumm (Noun): the dumb/stupid (as a concept), the fools (people, plural)📊 Degrees of ComparisonPositive: dummComparative: dümmerSuperlative: am dümmsten",Das war eine dumme Idee.That was a stupid idea.,Er fühlt sich in der dummen Situation unwohl.He feels uncomfortable in the awkward situation.,Diese Frage ist dümmer als die erste.This question is dumber than the first.,Das war am dümmsten von allen Fehlern.That was the dumbest of all mistakes.,"Das Dumme ist, dass wir kein Geld haben.The stupid thing is that we have no money.",German Word (A2)
A2,Drücken,drücken,"drücken (Verb): press, push, squeeze, press down, pin/hold tight, ache/feel tight‌ (clothes/shoes), weigh on/oppress  das drücken (Noun): the pressing, pressing‌ (act)","drücken (Verb): press, push, squeeze, press down, pin/hold tight, ache/feel tight (clothes/shoes), weigh on/oppress  das Drücken (Noun): the pressing, pressing (act)🔄 Verb Conjugationsregelmäßig Partizip II: gedrücktPresent (Präsens):ich: drückedu: drückster/sie/es: drücktwir: drückenihr: drücktsie: drückenPast (Präteritum):ich: drücktedu: drücktester/sie/es: drücktewir: drücktenihr: drücktetsie: drückten",Bitte hier drücken.Please press here.,Die Schuhe drücken.The shoes pinch.,Er drückt den Knopf.He presses the button.,Die Sorge drückt ihn.The worry weighs on him.,Das Drücken tut hier weh.The pressing hurts here.,German Word (A2)
A2,Drüben,drüben,"over there, on the other side, across there","over there, on the other side, across there📊 Degrees of ComparisonPositive: drüben",Die Kasse ist drüben.The checkout is over there.,Wir treffen uns drüben am Eingang.We’ll meet over there at the entrance.,Die Toilette ist da drüben.The toilet is over there.,,,German Adverb (A2)
A2,Drucken,drucken,"drucken (Verb): to print, to produce in print, to run off  das drucken (Noun): printing, the act of printing","drucken (Verb): to print, to produce in print, to run off  das Drucken (Noun): printing, the act of printing🔄 Verb Conjugationsregelmäßig Partizip II: gedrucktPresent (Präsens):ich: druckedu: druckster/sie/es: drucktwir: druckenihr: drucktsie: druckenPast (Präteritum):ich: drucktedu: drucktester/sie/es: drucktewir: drucktenihr: drucktetsie: druckten",Ich drucke das Ticket.I am printing the ticket.,Kannst du die Datei drucken?Can you print the file?3. Die Zeitung druckt den Artikel heute.The newspaper prints the article today.,Das Drucken dauert nur eine Minute.The printing takes only a minute.,,,German Word (A2)
A2,Drin,drin,"inside, in there, in it‌ (inside)","inside, in there, in it (inside)📊 Degrees of ComparisonPositive: drin",Was ist drin?What is inside?2. Da ist Zucker drin.There is sugar in there.,Bleib bitte drin.Please stay inside.,In der Tasche ist nichts drin.There is nothing inside the bag.,Ist genug Salz drin?Is there enough salt in it?,,German Adverb (A2)
A2,Drehen,drehen,"drehen (Verb): to turn, to rotate, to twist, to film, to spin  das drehen (Noun): the turning, the rotation, the filming‌ (process)","drehen (Verb): to turn, to rotate, to twist, to film, to spin  das Drehen (Noun): the turning, the rotation, the filming (process)🔄 Verb Conjugationsregelmäßig Partizip II: gedrehtPresent (Präsens):ich: drehedu: drehster/sie/es: drehtwir: drehenihr: drehtsie: drehenPast (Präteritum):ich: drehtedu: drehtester/sie/es: drehtewir: drehtenihr: drehtetsie: drehten",Bitte drehe die Flasche zu.Please screw the bottle closed.,Er dreht den Knopf nach rechts.He turns the knob to the right.,Die Kinder drehen sich im Kreis.The children spin in a circle.,Die Crew dreht heute in der Stadt.The crew is filming in the city today.,Das Drehen dauert nur fünf Minuten.The turning/filming takes only five minutes.,German Word (A2)
A1,Dort,dort,"there, over there, yonder‌ (archaic/rare)","there, over there, yonder (archaic/rare)📊 Degrees of ComparisonPositive: dort",Das Café ist dort.The café is there.,Wir treffen uns dort um acht.We’ll meet there at eight.,Dort ist mein Haus.My house is there.,Ich war schon dort.I have already been there.,,German Adverb (A1)
A2,Doppelt,doppelt,"doppelt (Adjektiv): double, twofold, dual  doppelt (Adverb): twice, double, two times  das doppelt (Noun): the double‌ (as a noun), double amount","doppelt (Adjektiv): double, twofold, dual  doppelt (Adverb): twice, double, two times  das Doppelt (Noun): the double (as a noun), double amount📊 Degrees of ComparisonPositive: doppeltComparative: doppelterSuperlative: am doppeltsten",Ich nehme die doppelt so große Portion.I'll take the portion that's double in size.,Das Ticket kostet heute doppelt so viel.Today the ticket costs twice as much.,Diese Flasche ist doppelter so groß wie jene.This bottle is twice as big as that one.,Das ist am doppeltsten schwer zu messen.This is hardest to measure in a double form.,Er bestellt das Doppelte.He orders the double amount.,German Word (A2)
B1,Diskutieren,diskutieren,"diskutieren (Verb): discuss, debate, argue‌ (politely)  das diskutieren (Noun): the act of discussing, discussion‌ (process)","diskutieren (Verb): discuss, debate, argue (politely)  das Diskutieren (Noun): the act of discussing, discussion (process)🔄 Verb Conjugationsregelmäßig Partizip II: diskutiertPresent (Präsens):ich: diskutieredu: diskutierster/sie/es: diskutiertwir: diskutierenihr: diskutiertsie: diskutierenPast (Präteritum):ich: diskutiertedu: diskutiertester/sie/es: diskutiertewir: diskutiertenihr: diskutiertetsie: diskutierten",Wir diskutieren das Thema heute.We are discussing the topic today.,Kannst du mit mir darüber diskutieren?Can you discuss it with me?3. Gestern diskutierten sie lange.Yesterday they discussed for a long time.,"Das Diskutieren hilft uns, eine Lösung zu finden.Discussing helps us find a solution.",Wir haben mit dem Chef diskutiert.We discussed it with the boss.,,German Word (B1)
A2,Direkt,direkt,"direkt (Adjektiv): direct, immediate, straight, nonstop  direkt (Adverb): directly, straight, right away, nonstop  das direkt (Noun): the direct‌ (quality/abstract)","direkt (Adjektiv): direct, immediate, straight, nonstop  direkt (Adverb): directly, straight, right away, nonstop  das Direkt (Noun): the direct (quality/abstract)📊 Degrees of ComparisonPositive: direktComparative: direkterSuperlative: am direktesten",Wir haben einen direkten Zug nach Berlin.We have a direct train to Berlin.,"Er ist sehr direkt und sagt, was er denkt.He is very direct and says what he thinks.",Gehen Sie direkt zum Bahnhof.Go directly to the station.,Dieser Weg ist direkter als der andere.This way is more direct than the other.,Das Direkte gefällt mir in ihrer Art.I like the direct quality in her manner.,German Word (A2)
B1,Digital,digital,"digital (Adjektiv): digital, electronic, digitized  digital (Adverb): digitally, in digital form  das digital (Noun): the digital‌ (realm), the digital‌ (as a concept)","digital (Adjektiv): digital, electronic, digitized  digital (Adverb): digitally, in digital form  das Digital (Noun): the digital (realm), the digital (as a concept)📊 Degrees of ComparisonPositive: digitalComparative: digitalerSuperlative: am digitalsten",Unsere Schule ist jetzt digital.Our school is now digital.,Dieses Angebot ist digitaler als das alte.This offer is more digital than the old one.,Die Dienste arbeiten am digitalsten in der Stadtverwaltung.The departments work in the most digital way in the city administration.,Wir liefern die Dokumente digital.We deliver the documents digitally.,Das Digitale verändert den Unterricht.The digital is changing teaching.,German Word (B1)
A2,Diesmal,diesmal,this time,this time📊 Degrees of ComparisonPositive: diesmal,Ich komme diesmal pünktlich.This time I will be on time.,Diesmal hat er gewonnen.This time he won.,Bitte vergiss es diesmal nicht.Please don't forget it this time.,Ich koche diesmal.This time I'll cook.,,German Adverb (A2)
B1,Dienen,dienen,"dienen (Verb): to serve, to be used for, to be of use, to serve‌ (someone/something)  das dienen (Noun): serving, the act of serving","dienen (Verb): to serve, to be used for, to be of use, to serve (someone/something)  das Dienen (Noun): serving, the act of serving🔄 Verb Conjugationsregelmäßig Partizip II: gedientPresent (Präsens):ich: dienedu: dienster/sie/es: dientwir: dienenihr: dientsie: dienenPast (Präteritum):ich: dientedu: dientester/sie/es: dientewir: dientenihr: dientetsie: dienten",Die App dient der Sicherheit.The app serves security purposes.,Dieses Messer dient zum Schneiden von Brot.This knife is used for cutting bread.,Er dient der Firma seit fünf Jahren.He has served the company for five years.,Kann ich dir damit dienen?Can I be of service to you with this?5. Das Dienen ist hier freiwillig.Serving here is voluntary.,,German Word (B1)
A1,Dick,dick,"dick (Adjektiv): thick, fat, dense, plump, thick‌ (consistency)  dick (Adverb): thickly, densely  das dick (Noun): the thick, the fat‌ (ones)","dick (Adjektiv): thick, fat, dense, plump, thick (consistency)  dick (Adverb): thickly, densely  das Dick (Noun): the thick, the fat (ones)📊 Degrees of ComparisonPositive: dickComparative: dickerSuperlative: am dicksten",Die Suppe ist dick.The soup is thick.,Er ist dicker als ich.He is fatter than me.,Das ist am dicksten.This is the thickest.,Sie streicht die Creme dick auf das Brot.She spreads the cream thick on the bread.,Das Dicke ist schwer zu schneiden.The thick part is hard to cut.,German Word (A1)
B1,Dicht,dicht,"dicht (Adjektiv): dense, thick, tight, impermeable, close‌ (in distance)  dicht (Adverb): closely, tightly, right‌ (up) close  das dicht (Noun): the dense‌ (quality/state), the thick‌ (state)","dicht (Adjektiv): dense, thick, tight, impermeable, close (in distance)  dicht (Adverb): closely, tightly, right (up) close  das Dicht (Noun): the dense (quality/state), the thick (state)📊 Degrees of ComparisonPositive: dichtComparative: dichterSuperlative: am dichtesten",Der Nebel ist heute sehr dicht.The fog is very dense today.,Die Häuser stehen dichter als früher.The houses are closer together than before.,Diese Jacke ist dicht und hält den Regen ab.This jacket is tight and keeps the rain out.,Er sitzt am dichtesten an der Tür.He sits the closest to the door.,Das Dichte des Waldes erschwert den Weg.The dense (quality) of the forest makes the way difficult.,German Word (B1)
A2,Deutlich,deutlich,"deutlich (Adjektiv): clear, distinct, plain, evident  deutlich (Adverb): clearly, distinctly, plainly, noticeably  das deutlich (Noun): the clear/obvious‌ (thing), what is clear","deutlich (Adjektiv): clear, distinct, plain, evident  deutlich (Adverb): clearly, distinctly, plainly, noticeably  das Deutlich (Noun): the clear/obvious (thing), what is clear📊 Degrees of ComparisonPositive: deutlichComparative: deutlicherSuperlative: am deutlichsten",Die Anzeige ist deutlich.The display is clear.,Sie spricht deutlicher als gestern.She speaks more clearly than yesterday.,Das war am deutlichsten im Test zu sehen.That was most clearly seen in the test.,Bitte schreiben Sie deutlich.Please write clearly.,Er betonte das Deutliche in seinen Ergebnissen.He emphasized the obvious in his results.,German Word (A2)
A2,Deswegen,deswegen,"therefore, because of that, for that reason","therefore, because of that, for that reason📊 Degrees of ComparisonPositive: deswegen","Es regnet, deswegen bleibe ich zu Hause.It’s raining, therefore I’m staying at home.","Ich habe keinen Bus, deswegen komme ich zu spät.There is no bus, therefore I am late.","Er ist krank, deswegen arbeitet er heute nicht.He is sick, therefore he isn’t working today.","Die Straße ist gesperrt, deswegen fahren wir anders.The street is closed, therefore we’re driving another way.",,German Adverb (A2)
B1,Desto,desto,"the‌ (the ... the ... in correlative construction), the more","the (the ... the ... in correlative construction), the more","Je früher wir gehen, desto besser.The earlier we leave, the better.","Je mehr du übst, desto leichter wird es.The more you practice, the easier it becomes.","Je länger ich warte, desto ungeduldiger werde ich.The longer I wait, the more impatient I become.",,,German Conjunction (B1)
A2,Deshalb,deshalb,"therefore, that's why, for that reason","therefore, that's why, for that reason","Es regnet, deshalb bleibe ich zu Hause.It is raining; therefore I stay at home.","Ich habe keine Zeit, deshalb rufe ich später an.I have no time; that's why I will call later.","Der Bus ist voll, deshalb gehen wir zu Fuß.The bus is full; therefore we go on foot.","Sie ist müde, deshalb schläft sie früh.She is tired; therefore she goes to sleep early.",,German Adverb (A2)
B1,Derselbe,derselbe,"the same, the very same","the same, the very same",Wir haben denselben Lehrer.We have the same teacher.,Sie trägt dieselbe Jacke wie gestern.She is wearing the same jacket as yesterday.,Ist das dasselbe Problem?Is that the same problem?4. Wir treffen uns am selben Ort.We meet at the same place.,,,German Pronoun (B1)
A2,Denken,denken,"denken (Verb): to think, to believe, to suppose, to consider  das denken (Noun): thinking, the act of thinking","denken (Verb): to think, to believe, to suppose, to consider  das Denken (Noun): thinking, the act of thinking🔄 Verb Conjugationsunregelmäßig Partizip II: gedachtPresent (Präsens):ich: denkedu: denkster/sie/es: denktwir: denkenihr: denktsie: denkenPast (Präteritum):ich: dachtedu: dachtester/sie/es: dachtewir: dachtenihr: dachtetsie: dachten","Ich denke, das ist gut.I think this is good.",Denkst du oft an deine Familie?Do you often think of your family?3. Er dachte lange nach.He thought for a long time.,Das Denken ist wichtig.Thinking is important.,"Wir denken, dass sie kommt.We think that she is coming.",,German Word (A2)
A2,Dekorieren,dekorieren,"dekorieren (Verb): decorate, adorn, embellish  das dekorieren (Noun): decorating, decoration‌ (the act)","dekorieren (Verb): decorate, adorn, embellish  das Dekorieren (Noun): decorating, decoration (the act)🔄 Verb Conjugationsregelmäßig Partizip II: dekoriertPresent (Präsens):ich: dekorieredu: dekorierster/sie/es: dekoriertwir: dekorierenihr: dekoriertsie: dekorierenPast (Präteritum):ich: dekoriertedu: dekoriertester/sie/es: dekoriertewir: dekoriertenihr: dekoriertetsie: dekorierten",Wir dekorieren das Zimmer für die Party.We decorate the room for the party.,Sie dekorierte den Kuchen mit Früchten.She decorated the cake with fruits.,Kannst du morgen dekorieren?Can you decorate tomorrow?4. Das Dekorieren macht Spaß.Decorating is fun.,,,German Word (A2)
A2,Dass,dass,that‌ (conjunction),that (conjunction),"Ich glaube, dass er kommt.I think that he is coming.","Sie sagt, dass sie keine Zeit hat.She says that she has no time.","Wir hoffen, dass alles gut wird.We hope that everything will be fine.","Er weiß, dass das wichtig ist.He knows that this is important.",,German Conjunction (A2)
A1,Dann,dann,"then, after that, next, at that time","then, after that, next, at that time📊 Degrees of ComparisonPositive: dann",Ich esse und dann gehe ich nach Hause.I eat and then I go home.,"Zuerst lernen wir, dann spielen wir.First we study, then we play.","Bis dann!See you then!4. Wenn es regnet, dann bleiben wir zu Hause.If it rains, then we stay at home.",,,German Adverb (A1)
A1,Danken,danken,"danken (Verb): to thank, to express thanks  das danken (Noun): the act of thanking, thanking","danken (Verb): to thank, to express thanks  das Danken (Noun): the act of thanking, thanking🔄 Verb Conjugationsregelmäßig Partizip II: gedanktPresent (Präsens):ich: dankedu: dankster/sie/es: danktwir: dankenihr: danktsie: dankenPast (Präteritum):ich: danktedu: danktester/sie/es: danktewir: danktenihr: danktetsie: dankten",Ich danke dir.I thank you.,Wir danken Ihnen für die Hilfe.We thank you for the help.,Kannst du ihm für das Geschenk danken?Can you thank him for the present?4. Das Danken fällt ihr leicht.Thanking comes easy to her.,,,German Word (A1)
A1,Danke,danke,"thanks, thank you","thanks, thank you","Danke!Thanks!2. Nein, danke.No, thanks.","Ja, bitte. – Danke.Yes, please. – Thank you.","Ich nehme Wasser, danke.I'll take water, thanks.",,,German Adverb (A1)
A2,Dankbar,dankbar,"dankbar (Adjektiv): grateful, thankful, appreciative  das dankbar (Noun): the grateful‌ (people), grateful ones","dankbar (Adjektiv): grateful, thankful, appreciative  das Dankbar (Noun): the grateful (people), grateful ones📊 Degrees of ComparisonPositive: dankbarComparative: dankbarerSuperlative: am dankbarsten",Ich bin dir sehr dankbar.I am very grateful to you.,Wir sind dankbar für die Hilfe.We are grateful for the help.,Heute bin ich dankbarer als gestern.Today I am more grateful than yesterday.,"Er ist am dankbarsten, wenn du zuhörst.He is most grateful when you listen.",Die Dankbaren sagen sofort Danke.The grateful (people) say thank you right away.,German Word (A2)
A2,Daneben,daneben,"beside it, next to it, to the side, to miss‌ (colloq., as in aim), out of place‌ (fig.)","beside it, next to it, to the side, to miss (colloq., as in aim), out of place (fig.)📊 Degrees of ComparisonPositive: danebenComparative: mehr danebenSuperlative: am meisten daneben",Stell die Tasse daneben.Put the cup next to it.,Er war heute total daneben.He was totally out of place today.,Sie warf den Ball und traf daneben.She threw the ball and missed.,"Wir nehmen das Sofa, und daneben kommt ein Regal.We’ll take the sofa, and next to it there will be a shelf.",Das ist noch mehr daneben als gestern.That’s even more out of place than yesterday.,German Adverb (A2)
A2,Damals,damals,"back then, at that time, in those days","back then, at that time, in those days📊 Degrees of ComparisonPositive: damals",Ich wohnte damals in Berlin.Back then I lived in Berlin.,Damals war alles neu für mich.At that time everything was new to me.,Wir kannten uns damals noch nicht.We didn't know each other back then.,,,German Adverb (A2)
A2,Dahin,dahin,"there‌ (to that place), by then, up to that point, gone‌ (in set phrases)","there (to that place), by then, up to that point, gone (in set phrases)",Geh bitte dahin und warte auf mich.Please go there and wait for me.,Bis dahin bleibe ich zu Hause.Until then I will stay at home.,"Er zeigt dahin, wo der Bus hält.He points there, where the bus stops.","Nach dem Regen war die Planung dahin.After the rain, the plans were gone.",,German Adverb (A2)
A2,Daher,daher,"therefore, thus, from there‌ (colloq.)","therefore, thus, from there (colloq.)","Es regnet, daher bleiben wir zu Hause.It is raining, therefore we stay at home.","Ich habe wenig Zeit, daher ist die Antwort kurz.I have little time, therefore the answer is short.",Er kommt gerade daher.He is coming from there.,,,German Adverb (A2)
A1,Da,da,"da (Adverb): there, here‌ (colloq.), then, in that case","da (Adverb): there, here (colloq.), then, in that case📊 Degrees of ComparisonPositive: da",Ich wohne da.I live there.,"Bist du da?Are you there?3. Da es regnet, bleiben wir zu Hause.Since it’s raining, we’re staying at home.",Da kannst du sitzen.You can sit there.,Mach das da bitte weg.Please remove that there.,,German Word (A1)
A2,Cool,cool,"cool (Adjektiv): cool, great, calm‌ (composed)  cool (Adverb): coolly, calmly, great  das cool (Noun): the cool‌ (quality)","cool (Adjektiv): cool, great, calm (composed)  cool (Adverb): coolly, calmly, great  das Cool (Noun): the cool (quality)📊 Degrees of ComparisonPositive: coolComparative: coolerSuperlative: am coolsten",Das Outfit ist cool.The outfit is cool.,Sie bleibt in Stress cool.She stays cool under stress.,Dieses Lied ist cooler.This song is cooler.,Er hat am coolsten reagiert.He reacted the coolest.,Das Coole an dem Kurs ist die Praxis.The cool thing about the course is the practice.,German Word (A2)
B1,Chic,chic,"chic (Adjektiv): chic, elegant, stylish  chic (Adverb): chicly, stylishly, elegantly  das chic (Noun): chic, elegance, style","chic (Adjektiv): chic, elegant, stylish  chic (Adverb): chicly, stylishly, elegantly  das Chic (Noun): chic, elegance, style📊 Degrees of ComparisonPositive: chicComparative: chicerSuperlative: am chicsten",Das Kleid ist chic.The dress is chic.,Er sieht heute noch chicer aus.He looks even more chic today.,Sie ist am chicsten auf der Party.She is the most chic at the party.,Die Jacke sitzt chic.The jacket fits chicly.,Das Chic der Stadt zieht viele Touristen an.The city's chic attracts many tourists.,German Word (B1)
A2,Chatten,chatten,"chatten (Verb): to chat‌ (online), to message in a chat, to text-chat  das chatten (Noun): chatting‌ (the act), the act of chatting online","chatten (Verb): to chat (online), to message in a chat, to text-chat  das Chatten (Noun): chatting (the act), the act of chatting online🔄 Verb Conjugationsregelmäßig Partizip II: gechattetPresent (Präsens):ich: chatedu: chattester/sie/es: chattetwir: chattenihr: chattetsie: chattenPast (Präteritum):ich: chattetedu: chattetester/sie/es: chattetewir: chattetenihr: chattetetsie: chatteten",Ich chatte jeden Abend mit meinen Freunden.I chat with my friends every evening.,Chattest du heute mit Lisa?Are you chatting with Lisa today?3. Gestern chattete er lange mit seiner Schwester.Yesterday he chatted for a long time with his sister.,Das Chatten macht mir Spaß.Chatting is fun for me.,,,German Word (A2)
A2,Campen,campen,"campen (Verb): to camp, to go camping, to stay in a tent  das campen (Noun): camping, the act of camping","campen (Verb): to camp, to go camping, to stay in a tent  das Campen (Noun): camping, the act of camping🔄 Verb Conjugationsregelmäßig Partizip II: gecamptPresent (Präsens):ich: campedu: campster/sie/es: camptwir: campenihr: camptsie: campenPast (Präteritum):ich: camptedu: camptester/sie/es: camptewir: camptenihr: camptetsie: campten",Wir campen am See.We are camping at the lake.,Sie campt im Garten.She is camping in the garden.,Letztes Jahr campten wir in den Bergen.Last year we camped in the mountains.,Das Campen ist im Park erlaubt.Camping is allowed in the park.,,German Word (A2)
A2,Böse,böse,"böse (Adjektiv): angry, mad, evil, bad  das böse (Noun): the evil, evil‌ (as a concept), the bad‌ (people)","böse (Adjektiv): angry, mad, evil, bad  das Böse (Noun): the evil, evil (as a concept), the bad (people)📊 Degrees of ComparisonPositive: böseComparative: böserSuperlative: am bösesten",Ich bin böse auf dich.I am mad at you.,Sie schaut böse.She looks angry.,Er war heute böser als gestern.He was angrier today than yesterday.,Das war am bösesten in der ganzen Geschichte.That was the most evil in the whole story.,Das Böse gewinnt nicht.Evil does not win.,German Word (A2)
A2,Bunt,bunt,"bunt (Adjektiv): colorful, bright, multicolored, variegated  bunt (Adverb): colorfully, brightly, in many colors  das bunt (Noun): the colorful‌ (abstract/collective), the bright/variegated, the colorful ones‌ (colloq., people)","bunt (Adjektiv): colorful, bright, multicolored, variegated  bunt (Adverb): colorfully, brightly, in many colors  das Bunt (Noun): the colorful (abstract/collective), the bright/variegated, the colorful ones (colloq., people)📊 Degrees of ComparisonPositive: buntComparative: bunterSuperlative: am buntesten",Die Blumen sind bunt.The flowers are colorful.,Das Kleid ist bunter als deins.The dress is more colorful than yours.,Das Bild ist am buntesten.This picture is the most colorful.,Die Häuser sind bunt gestrichen.The houses are painted colorfully.,Das Bunte gefällt den Kindern.The colorful (things) appeal to the children.,German Word (A2)
A1,Buchstabieren,buchstabieren,"buchstabieren (Verb): to spell, to spell out, to letter by letter  das buchstabieren (Noun): spelling out, spelling‌ (act of spelling out)","buchstabieren (Verb): to spell, to spell out, to letter by letter  das Buchstabieren (Noun): spelling out, spelling (act of spelling out)🔄 Verb Conjugationsregelmäßig Partizip II: buchstabiertPresent (Präsens):ich: buchstabieredu: buchstabierster/sie/es: buchstabiertwir: buchstabierenihr: buchstabiertsie: buchstabierenPast (Präteritum):ich: buchstabiertedu: buchstabiertester/sie/es: buchstabiertewir: buchstabiertenihr: buchstabiertetsie: buchstabierten",Können Sie das bitte buchstabieren?Could you please spell that?2. Ich buchstabiere meinen Namen: A-N-A.I spell my name: A-N-A.,Er hat die E-Mail noch einmal buchstabiert.He spelled the email address again.,Das Buchstabieren ist hier wichtig.Spelling out is important here.,,,German Word (A1)
A2,Buchen,buchen,"buchen (Verb): to book, to reserve, to post‌ (accounting)  das buchen (Noun): the booking‌ (action), the posting‌ (accounting, action)","buchen (Verb): to book, to reserve, to post (accounting)  das Buchen (Noun): the booking (action), the posting (accounting, action)🔄 Verb Conjugationsregelmäßig Partizip II: gebuchtPresent (Präsens):ich: buchedu: buchster/sie/es: buchtwir: buchenihr: buchtsie: buchenPast (Präteritum):ich: buchtedu: buchtester/sie/es: buchtewir: buchtenihr: buchtetsie: buchten",Ich buche ein Zimmer für zwei Nächte.I am booking a room for two nights.,Kannst du den Flug online buchen?Can you book the flight online?3. Die Firma bucht die Rechnung heute.The company posts the invoice today.,Das Buchen ist einfach.Booking is easy.,,,German Word (A2)
